position,artist,name
1573,Ben Selvin,Happy Days Are Here Again
860,Benny Goodman,"Sing, Sing, Sing (With A Swing)"
4159,Benny Mardones,Into the Night
154,Berlin,Take My Breath Away
1574,Bert Kaempfert & his Orchestra,Wonderland By Night
4448,Bertolt Brecht,Mack the Knife
1020,Bessie Smith,Down Hearted Blues
1575,Bette Midler,Wind Beneath My Wings
2390,Betty Hutton,"Doctor, Lawyer, Indian Chief"
101,Beyonce,Crazy in Love
1094,Beyonce & Jay-Z,Deja Vu
224,Beyonce & Shakira,Beautiful Liar
3129,Big Bopper,Chantilly Lace
4840,Big Brother & the Holding Company,Piece of My Heart
4874,Big Brovaz,Nu Flow
677,Big Mountain,"Baby, I Love Your Way"
2923,Bill Conti,Gonna Fly Now (Theme From 'Rocky')
2598,Bill Doggett,Honky Tonk
2,Bill Haley & his Comets,Rock Around the Clock
2712,Bill Hayes,Ballad of Davy Crockett
3996,Bill Justis,Raunchy
281,Bill Medley & Jennifer Warnes,(I've Had) the Time of My Life
3695,Bill Monroe,Blue Moon of Kentucky
1412,Bill Withers,Lean On Me
1193,Billie Holiday,Strange Fruit
3976,Billie Myers,Kiss the Rain
4786,Billy Cotton & his Band,The Petite Waltz (La Petite Valse)
1525,Billy Eckstine,My Foolish Heart
2325,Billy Idol,Cradle of Love
4232,Billy J Kramer & The Dakotas,Little Children
491,Billy Joel,The River of Dreams
3080,Billy Jones,Yes! We Have No Bananas
425,Billy Ocean,Get Outta My Dreams Get Into My Car
1874,Billy Paul,Me & Mrs Jones
2998,Billy Preston,Will It Go Round In Circles
3033,Billy Preston & Syreeta,With You I'm Born Again
897,Billy Ray Cyrus,Achy Breaky Heart
325,Billy Swan,I Can Help
1700,Billy Vaughn,Sail Along Silvery Moon
3433,Billy Vera,At This Moment
3679,Billy Ward & The Dominoes,Sixty Minute Man
4618,Billy Whitlock,Hop Scotch Polka
4977,Bimbo Jet,El Bimbo
1,Bing Crosby,White Christmas
1748,Bing Crosby & Carmen Cavallaro,I Can't Begin to Tell You
4111,Bing Crosby & Connee Boswell,Alexander's ragtime band
2366,Bing Crosby & Grace Kelly,True Love
1249,Bing Crosby & Les Paul,"It's Been a Long, Long Time"
153,Bing Crosby & The Andrews Sisters,Don't Fence Me In
3222,Bing Crosby & The Jesters,Sioux City Sue
4064,Bing Crosby & The Mills Brothers,Dinah
4328,Bing Crosby & Trudy Erwin,"Oh, What a Beautiful Mornin'"
3830,Bix Beiderbecke,In a Mist
3494,Bjork,Army of Me
3322,Black,Wonderful Life
2290,Black Box,Ride On Time
1374,Black Sabbath,Paranoid
1053,BLACKstreet & Dr Dre,No Diggity
4938,BLACKstreet & Mya,Take Me There
4133,Blessid Union of Souls,I Believe
3860,Blind Lemon Jefferson,Matchbox Blues
2581,Blind Melon,No Rain
3570,Blind Willie Johnson,"Dark Was the Night, Cold Was the Ground"
2268,blink-182,All the Small Things
87,Blondie,Heart of Glass
2041,Blood Sweat & Tears,Spinning Wheel
1073,Bloodhound Gang,The Bad Touch
2023,Blu Cantrell,Breathe
3526,Blue & Elton John,Sorry Seems to Be the Hardest Word
2531,Blue Barron & Orchestra,Cruising Down the River
3973,Blue Cheer,Summertime Blues
2428,Blue Diamonds,Ramona
4294,Blue Magic,Sideshow
2445,Blue Swede,Hooked On a Feeling
4958,Blues Traveler,Run Around
1772,Blur,Country House
4852,Bo Diddley,Bo Diddley
3408,Bo Donaldson & the Heywoods,"Billy, Don't Be a Hero"
983,BoB & Bruno Mars,Nothin' on You
844,BoB & Hayley Williams,Airplanes
3676,Bob Azzam,Mustapha
4993,Bob Crosby & his Orchestra,Whispers in The Dark
533,Bob Dylan,Like a Rolling Stone
2230,Bob Hope & Shirley Ross,Thanks For the Memory
4473,Bob Luman,Let's Think About Living
1875,Bob Marley,"No Woman, No Cry"
1809,Bob Moore,Mexico
2552,Bob Seger & The Silver Bullet Band,Shake Down
1333,"Bob Sinclar, Goleo VI & Gary 'Nesta' Pine",Love Generation
3416,Bob Wills & his Texas Playboys,New San Antonio Rose
1419,Bobbie Gentry,Ode To Billie Joe
3916,Bobby Bloom,Montego Bay
1820,Bobby 'Boris' Pickett & The Crypt-Kickers,The Monster Mash
930,Bobby Brown,Humpin' Around
23,Bobby Darin,Mack the Knife
3958,Bobby Day,Rockin' Robin
4682,Bobby Freeman,Do You Want to Dance?
4846,Bobby Fuller Four,I Fought the Law
482,Bobby Goldsboro,Honey
2945,Bobby Hebb,Sunny
3564,Bobby Helms,My Special Angel
1847,Bobby Lewis,Tossing & Turning
242,Bobby McFerrin,Don't Worry Be Happy
3318,Bobby Rydell,The Wild One
4052,Bobby Sherman,Little Woman
2263,Bobby Vee,Take Good Care of My Baby
849,Bobby Vinton,Roses Are Red
1388,Bomfunk MCs,Freestyler
272,Bon Jovi,Always
1208,Bone Thugs-n-Harmony,Tha Crossroads
132,Boney M,Rivers of Babylon
4198,Bonnie Raitt,Love Sneakin' Up On You
276,Bonnie Tyler,Total Eclipse of the Heart
1205,Booker T & the MGs,Green Onions
3674,Boris Gardiner,I Want to Wake Up With You
1610,Boston,More Than a Feeling
4779,Bowling For Soup,1985
2090,Boy George,Everything I Own
3893,Boy Meets Girl,Waiting For a Star to Fall
4398,Boystown Gang,Can't Take My Eyes Off You
75,Boyz II Men,End of the Road
1284,Boyzone,No Matter What
4446,Boz Scaggs,Lowdown
1866,Brandy,Have You Ever?
91,Brandy & Monica,The Boy is Mine
2905,Bread,Make it With You
3525,Breathe,Hands to Heaven
807,Brenda Lee,I'm Sorry
4655,Brenda Russell,Piano in the Dark
2521,Brenton Wood,Gimme Little Sign
1246,Brian Hyland,Itsy Bitsy Teeny Weeny Yellow Polka Dot Bikini
4715,Brian McFadden & Delta Goodrem,Almost Here
2534,Brian McKnight,Back At One
29,Britney Spears,Baby One More Time
579,Britney Spears & Madonna,Me Against the Music
2492,Bronski Beat,Smalltown Boy
3267,Brook Benton,Rainy Night in Georgia
3352,Bros,When Will I Be Famous?
642,Brotherhood of Man,Save All Your Kisses For Me
2611,Brothers Four,Greenfields
3540,Brothers Johnson,Stomp!
2859,Brownstone,If You Love Me
4850,Brownsville Station,Smokin' in the Boys' Room
2187,Bruce Channel,Hey Baby
1527,Bruce Hornsby & The Range,The Way it Is
76,Bruce Springsteen,Streets of Philadelphia
188,Bruno Mars,Grenade
5,Bryan Adams,(Everything I Do) I Do it For You
3201,Bryan Adams & Melanie C,When You're Gone
143,"Bryan Adams, Rod Stewart & Sting",All For Love
4877,Bucketheads,The Bomb! (These Sounds Fall Into My Mind)
2344,Bucks Fizz,Making Your Mind Up
4450,Buddy Clark,Peg o' My Heart
376,Buddy Holly,That'll Be the Day
4941,Buddy Knox,Party Doll
2671,Buffalo Springfield,"For What It's Worth (Stop, Hey What's That Sound)"
743,Buggles,Video Killed the Radio Star
4818,Bunny Berigan,I Can't Get Started
4251,Burl Ives,Lavender Blue
2276,Busta Rhymes,"Turn It Up, Fire It Up"
2322,Busta Rhymes & Mariah Carey,I Know What You Want
1719,Buzz Clifford,Baby Sittin' Boogie
1456,C W McCall,Convoy
528,C&C Music Factory,Gonna Make You Sweat (Everybody Dance Now)
1190,Cab Calloway & his Cotton Club Orchestra,Minnie the Moocher
4329,Calloway,I Wanna Be Rich
4474,Calvin Harris,Feel So Close
2575,Cameo,Word Up
3351,Candi Staton,Young Hearts Run Free
2951,Canned Heat,On the Road Again
4043,Cappella,Move On Baby
424,Captain & Tennille,Love Will Keep Us Together
1652,Captain Hollywood Project,More & More
62,Carl Douglas,Kung Fu Fighting
922,Carl Perkins,Blue Suede Shoes
243,Carly Rae Jepsen,Call Me Maybe
211,Carly Simon,You're So Vain
2915,Carol Douglas,Doctor's Orders
617,Carole King,It's Too Late
513,Carpenters,(They Long to Be) Close to You
4573,Carrapicho & Chilli,Tic Tic Tac (Dance To Boi Bumba!)
4512,Carrie Underwood,Inside Your Heaven
1600,Cascada,Everytime We Touch
2043,Cascades,Rhythm of the Rain
2446,Cassie,Me & U
4627,Casuals,Jesamine
2481,Cat Stevens,Morning Has Broken
2916,Cathy Dennis,Touch Me (All Night Long)
1676,Ce Ce Peniston,Finally
1239,Cee-Lo Green,F**k You/forget You
4,Celine Dion,My Heart Will Go On
3481,Celine Dion & Bee Gees,Immortality
