position,artist,name
433,Exile,Kiss You All Over
4281,Expose,Seasons Change
471,Extreme,More Than Words
3432,Eydie Gorme,Blame it On the Bossa Nova
414,F R David,Words
1188,Fairground Attraction,Perfect
1891,Faith Hill,Breathe
2193,Faith No More,Easy
1899,Faithless,Insomnia
187,Falco,Rock Me Amadeus
1633,Fall Out Boy,"This Ain't A Scene, It's An Arms Race"
1343,Fanny Brice,My Man
1844,Far East Movement,Like a g6
2395,Fastball,The Way
2550,Fat Boys & Chubby Checker,The Twist (Yo Twist)
2324,Fat Joe,What's Luv?
3646,Fatboy Slim,Praise You
4653,Fatman Scoop,Be Faithful
257,Fats Domino,Blueberry Hill
2315,Fats Waller,Ain't Misbehavin'
4670,Fendermen,Mule Skinner Blues
2035,Fergal Sharkey,A Good Heart
90,Fergie,Big Girls Don't Cry
2864,Fergie & Ludacris,Glamorous
2183,Fergie & will.i.am,Fergalicious
3130,Ferrante & Teicher,Theme From 'Exodus'
3192,Ferry Aid,Let it Be
3777,Fess Parker,Ballad of Davy Crockett
389,Fifth Dimension,Aquarius/Let The Sunshine In
418,Fine Young Cannibals,She Drives Me Crazy
3856,Finger Eleven,Paralyzer
3701,First Class,Beach Baby
3382,Fisk University Jubilee Quartet,"Swing Low, Sweet Chariot"
3371,Five,When the Lights Go Out
1912,Five for Fighting,Superman (It's Not Easy)
1304,Fleetwood Mac,Go Your Own Way
812,Flo-Rida,Whistle
1317,Flo-Rida & David Guetta,Club can't handle me
386,Flo-Rida & Ke$ha,Right Round
1837,Flo-Rida & Sia,The Wild Ones
73,Flo-Rida & T-Pain,Low
3568,Floyd Cramer,Last Date
1075,Fool's Garden,The Lemon Tree
222,Foreigner,I Want to Know What Love Is
3049,Foster the People,Pumped Up Kicks
2855,Fountains of Wayne,Stacy's Mom
721,Four Aces,Love is a Many Splendoured Thing
4586,Four Lads,Skokiaan
264,Four Non Blondes,What's Up?
4708,Foxy,Get Off
4206,France Gall,"Poupee De Cire, Poupee De Son"
501,Francis Craig,Near You
3752,Francis Lai,Theme From 'Love Story'
3601,Francoise Hardy,Tous les garcons & les filles
1328,Frank Chacksfield,Terry's Theme From 'Limelight'
4894,Frank Duval,Angel of Mine
2906,Frank Ifield,I Remember You
2853,Frank Mills,Music Box Dancer
74,Frank Sinatra,Strangers in the Night
4663,Frank Stallone,Far From Over
4895,Frank Weir & Orchestra,Happy Wanderer
3775,Frankee,FURB (F U Right Back)
503,Frankie Avalon,Venus
1882,Frankie Carle,Rumors Are Flying
4861,Frankie Ford,Sea Cruise
249,Frankie Goes To Hollywood,Relax
709,Frankie Laine,Mule Train
1148,Frankie Lymon & The Teenagers,Why Do Fools Fall in Love?
2711,Frankie Trumbauer,Singin' the Blues
514,Frankie Valli,Grease
4701,Frankie Vaughan,Tower of Strength
1831,Franz Ferdinand,Take Me Out
766,Fred Astaire,The Way You Look Tonight
789,Fred Astaire & Leo Reisman,Night & Day
4928,Fred Waring & the Pennsylvanians,Sleep
1219,Freda Payne,Band of Gold
2840,Freddie & The Dreamers,I'm Telling You Now
1339,Freddie Mercury,Living On My Own
4845,Freddy Cannon,Way Down Yonder in New Orleans
2465,Freddy Fender,Before The Next Teardrop Falls
1362,Freddy Martin,Symphony
3858,Freddy Quinn,Junge komm bald wieder
1076,Free,All Right Now
1749,Frida,I Know There's Something Going On
1397,Frijid Pink,House of the Rising Sun
621,fun.,We Are Young
2220,Gabriella Cilmi,Sweet About Me
1916,Gabrielle,Dreams
4179,Gallery,Nice To Be With You
4917,Garbage,The World is Not Enough
3688,Gareth Gates,Anyone of Us (Stupid Mistake)
4490,Gary Barlow,Forever Love
1631,Gary Glitter,Rock 'n' Roll (Part 2)
2511,Gary Lewis & The Playboys,This Diamond Ring
4856,Gary Moore,Still Got the Blues (For You)
1579,Gary Numan,Cars
795,Gary Puckett & The Union Gap,Young Girl
2540,Gary US Bonds,Quarter to Three
1941,Gary Wright,Dream Weaver
3949,Gavin Degraw,I Don't Want to Be
3094,Gazebo,I Like Chopin
1118,Gene Austin,"Bye Bye, Blackbird"
356,Gene Autry,"Rudolph, the Red-Nosed Reindeer"
1888,Gene Chandler,Duke of Earl
3180,Gene Pitney,Town Without Pity
2163,Gene Vincent,Be Bop a Lula
2127,Genesis,No Son of Mine
598,George Baker Selection,Una Paloma Blanca
2010,George Benson,Give Me the Night
765,George Gershwin,Rhapsody in Blue
27,George Harrison,My Sweet Lord
163,George McCrae,Rock Your Baby
42,George Michael,Careless Whisper
567,George Michael & Elton John,Don't Let the Sun Go Down On Me
3815,George Olsen,Always
3104,Georgia Gibbs,Kiss Of Fire
1292,Georgie Fame,Ballad of Bonnie & Clyde
1738,Geri Halliwell,It's Raining Men
3372,Gerry & the Pacemakers,How Do You Do It?
311,Gerry Rafferty,Baker Street
4465,Gertrude Lawrence,Someone to Watch Over Me
1568,Gigliola Cinquetti,Non Ho L'Eta Per Amarti
600,Gilbert O'Sullivan,Get Down
3315,Gin Blossoms,Follow You Down
2166,Gina G,Ooh Aah... Just a Little Bit
3007,Gino Vannelli,I Just Wanna Stop
4187,Ginuwine,Pony
4165,Girls Aloud,Sound of the Underground
1778,Gladys Knight & The Pips,Midnight Train to Georgia
3097,Glass Tiger,Don't Forget Me (When I'm Gone)
693,Glen Campbell,Rhinestone Cowboy
2259,Glen Gray,My Heart Tells Me (Should I Believe My Heart)
2287,Glenn Frey,The Heat is On
963,Glenn Medeiros,Nothing's Gonna Change My Love For You
1995,Glenn Medeiros & Bobby Brown,She Ain't Worth It
79,Glenn Miller,In the Mood
1775,Gloria Estefan,Coming Out of the Dark
2662,Gloria Estefan & Miami Sound Machine,Anything For You
164,Gloria Gaynor,I Will Survive
126,Gnarls Barkley,Crazy
2583,Gogi Grant,Wayward Wind
2248,Golden Earring,Radar Love
4201,Good Charlotte,Lifestyles of the Rich & Famous
1996,Goombay Dance Band,Sun Of Jamaica
4311,Gordon Jenkins,My Foolish Heart
4380,Gordon Jenkins & The Stardusters,I Don't See Me In Your Eyes Anymore
412,Gordon Jenkins & The Weavers,"Goodnight, Irene"
2329,Gordon Lightfoot,Sundown
847,Gorillaz,Feel Good Inc
162,Gotye & Kimbra,Somebody That I Used to Know
2450,Gracie Fields,Now Is the Hour (Maori Farewell Song)
1964,Grand Funk Railroad,The Loco-Motion
2380,Grandmaster Flash & The Furious Five,The Message
4067,Grass Roots,Let's Live For Today
279,Green Day,Boulevard of Broken Dreams
3520,Green Jelly,Three Little Pigs
2466,Greg Kihn Band,Jeopardy
1702,Gregory Abbott,Shake You Down
4062,Groove Theory,Tell Me
2231,Grover Washington Jr,Just the Two of Us
881,Guess Who,American Woman
385,Guns n' Roses,Sweet Child O' Mine
4484,Guru Josh,Infinity 2008
2291,Guy Lombardo,It's Love-Love-Love
668,Guy Mitchell,Singing The Blues
377,Gwen Stefani,Hollaback Girl
535,Gwen Stefani & Akon,The Sweet Escape
2241,Gym Class Heroes,Cupid's chokehold (Breakfast in America)
320,Haddaway,What is Love?
955,Hall & Oates,Maneater
2602,"Hamilton, Joe Frank & Reynolds",Don't Pull Your Love
4044,Hank Locklin,"Please Help Me, I'm Falling"
1972,Hank Williams,Your Cheatin' Heart
32,Hanson,Mmmbop
2877,Happenings,See You in September
1757,Harold Faltermeyer,Axel F
2932,Harold Melvin & The Bluenotes,If You Don't Know Me By Now
2100,Harpo,Moviestar
634,Harry Belafonte,Banana Boat Song
2990,Harry Chapin,Cat's in the Cradle
826,Harry James,Sleepy Lagoon
2457,Harry James & Dick Haymes,I'll Get By (As Long As I Have You)
288,Harry Nilsson,Without You
1594,Harry Richman,Puttin' on the Ritz
633,Heart,All I Wanna Do is Make Love to You
1473,Heatwave,Boogie Nights
1852,Heavy D & The Boyz,Now That We Found Love
3449,Helen Forrest & Dick Haymes,Together
2182,Helen Kane,I Wanna Be Loved By You
2036,Helen Reddy,Delta Dawn
2253,Helen Shapiro,Walkin' Back to Happiness
4749,Hellogoodbye,Here in your Arms
2084,Henry Gross,Shannon
1552,Henry Mancini,Moon River
1723,Herb Alpert,This Guy's in Love With You
2716,Herbie Hancock,Rockit
928,Herman's Hermits,No Milk Today
878,Highwaymen,Michael Row the Boat
3847,Hilary Duff,Wake Up
2572,Hinder,Lips of An Angel
1799,Hoagy Carmichael,Stardust
4287,Hole,Celebrity Skin
4766,Holly Johnson,Love Train
3504,Holly Valance,Kiss Kiss
3100,Hollywood Argyles,Alley-oop
3685,Honey Cone,Want Ads
866,Hoobastank,The Reason
2807,Hootie & The Blowfish,Old Man & Me (When I Get To Heaven)
3077,Horace Heidt,I Don't Want to Set the World On Fire
421,Hot Butter,Popcorn
1119,Hot Chocolate,You Sexy Thing
2340,House of Pain,Jump Around
4244,Houston,I Like That
3486,Howard Jones,Things Can Only Get Better
4761,Howlin' Wolf,Smokestack Lightning
1159,Hues Corporation,Rock the Boat
618,Huey Lewis & The News,The Power of Love
1774,Hugo Montenegro,The Good the Bad & the Ugly
3070,Hurricane Smith,Oh Babe What Would You Say?
4747,Ian Dury & The Blockheads,Hit Me With Your Rhythm Stick
4369,Ice Cube,It Was a Good Day
3686,Ides of March,Vehicle
2311,Ike & Tina Turner,Nutbush City Limits
1974,Imagination,Just an Illusion
4869,Impalas,Sorry (I Ran All the Way Home)
4429,Impressions,It's Alright
4267,Indeep,Last Night a DJ Saved My Life
4199,Inez & Charlie Foxx,Mockingbird
4011,Information Society,What's On Your Mind (Pure Energy)
427,Ini Kamoze,Here Comes the Hotstepper
896,Inner Circle,Sweat (A La La La La Song)
4276,Inner City,Good Life
4945,Instant Funk,I Got My Mind Made Up
542,INXS,Need You Tonight
9,Irene Cara,Flashdance... What a Feeling
3970,Irish Rovers,The Unicorn
488,Isaac Hayes,Theme From 'Shaft'
1668,Isham Jones,It Had to Be You
2811,Ivo Robic,Morgen
1109,Iyaz,Replay
4461,J Frank Wilson & the Cavaliers,The Last Kiss
250,J Geils Band,Centrefold
3150,Ja Rule,Wonderful
3112,Ja Rule & Ashanti,Always On Time
2582,Jack Johnson,Upside Down
3953,Jack McVea & his Band,"Open The Door, Richard!"
4739,Jack Scott,What in the World's Come Over You
3145,Jack Smith,Me & My Shadow
2630,Jackie Wilson,Reet Petite
3796,Jade,Don't Walk Away
4395,Jam & Spoon,Right in the Night (Fall in Love With Music)
1400,Jamelia,Superstar
4458,James Baskett,Zip-A-Dee-Doo-Dah
140,James Blunt,You're Beautiful
2725,James Brown,Living in America
4790,James Darren,Goodbye Cruel World
2016,James Morrison,You Give Me Something
1220,James Taylor,You've Got a Friend
2072,Jamiroquai,Virtual Insanity
1337,Jan & Dean,Surf City
3111,Jan & Kjeld,Banjo Boy
4121,Jan Garber,Baby Face
3161,Jan Hammer,Miami Vice Theme
978,Jane Birkin & Serge Gainsbourg,Je T'Aime (Moi Non Plus)
3566,Jane Child,Don't Wanna Fall in Love
4805,Jane Morgan,The Day the Rains Came
265,Janet Jackson,That's the Way Love Goes
3003,Janet Jackson & Q-Tip & Joni Mitchell,Got 'Til It's Gone
3622,Janis Ian,At Seventeen
782,Janis Joplin,Me & Bobby McGee
3947,Jann Arden,Insensitive
1514,Jason Derulo,Whatcha Say
4207,Jason Derulo & 2 Chainz,Talk Dirty
3851,Jason Donovan,Sealed With a Kiss
393,Jason Mraz,I am Yours
2336,Jay & the Americans,Cara Mia
3735,Jay Sean,Do You Remember?
1321,Jay Sean & Lil' Wayne,Down
2426,Jay-Z,Hard Knock Life
951,Jay-Z & Alicia Keys,Empire State Of Mind
787,Jay-Z & Linkin Park,Numb/Encore
2397,"Jay-Z, Rihanna & Kanye West",Run This Town
2778,Jean Knight,Mr Big Stuff
2470,Jean-Claude Borelly,Dolannes-Melodie
3917,Jeanette,Porque te vas
2056,Jeannie C Riley,Harper Valley PTA
2739,Jeff Buckley,Hallelujah
1479,Jefferson Airplane,White Rabbit
348,Jefferson Starship,Nothing's Gonna Stop Us Now
301,Jennifer Lopez,If You Had My Love
1450,Jennifer Lopez & LL Cool J,All I Have
312,Jennifer Lopez & Pitbull,On The Floor
557,Jennifer Paige,Crush
1028,Jennifer Rush,The Power of Love
3981,Jermaine Jackson & Pia Zadora,When The Rain Begins To Fall
384,Jerry Lee Lewis,Great Balls of Fire
1404,Jerry Murad's Harmonicats,Peg o' My Heart
2999,Jesse McCartney,Beautiful Soul
3264,Jessica Simpson,I Wanna Love You Forever
3155,Jessie J,Domino
1471,Jessie J & BoB,Price Tag
3580,Jesus Jones,"Right Here, Right Now"
1977,Jet,Are You Gonna Be My Girl?
845,Jewel,You Were Meant for Me
2845,Jewel Akens,The Birds & the Bees
2991,Jigsaw,Sky High
2144,Jim Croce,"Bad, Bad Leroy Brown"
2830,Jim Diamond,I Should Have Known Better
2472,Jim Lowe,Green Door
1130,Jim Reeves,He'll Have to Go
4969,Jim Stafford,Spiders & Snakes
2185,Jimi Hendrix,All Along the Watchtower
3018,Jimmie Davis,You Are My Sunshine
856,Jimmie Rodgers,T For Texas (Blue Yodel No 1)
1144,Jimmy Boyd,I Saw Mommy Kissing Santa Claus
3960,Jimmy Boyd & Frankie Laine,Tell Me a Story
3437,Jimmy Castor Bunch,Troglodyte (Cave Man)
3441,Jimmy Cliff,I Can See Clearly Now
1654,Jimmy Dean,Big Bad John
676,Jimmy Dorsey,Tangerine
4830,Jimmy Eat World,The Middle
1790,Jimmy Jones,Good Timin'
3426,Jimmy Nail,Ain't No Doubt
3921,Jimmy Ruffin,What Becomes of the Broken Hearted
3108,Jimmy Soul,If You Wanna Be Happy
4787,Jimmy Young,Too Young
467,Jive Bunny & The Mastermixers,Swing the Mood
4440,J-Kwon,Tipsy
200,Jo Stafford,You Belong to Me
2856,Joan Baez,The Night They Drove Old Dixie Down
61,Joan Jett & The Blackhearts,I Love Rock 'n' Roll
492,Joan Osborne,One of Us
2832,Joan Weber,Let Me Go Lover
2616,Jody Watley,Looking For a New Love
1821,Joe Cocker,With a Little Help From My Friends
486,Joe Cocker & Jennifer Warnes,Up Where We Belong
586,Joe Dolce,Shaddup You Face
4317,Joe 'Fingers' Carr,Down Yonder
4003,Joe Jackson,Steppin' Out
4136,Joe Public,Live & Learn
3265,Joe South,Games People Play
3761,Joe Tex,I Gotcha
3770,Joe Thomas,I Wanna Know
2247,Joe Thomas & Mystikal,Stutter
1476,Joey Dee & The Starliters,Peppermint Twist
2849,Joey Scarbury,Theme From 'Greatest American Hero' (Believe It Or Not)
1097,John Cougar Mellencamp,Jack & Diane
2463,John Cougar Mellencamp & Me'Shell Ndegeocello,One Wild Night
1763,John Denver,Annie's Song
2155,John Farnham,You're the Voice
489,John Fred & The Playboy Band,Judy in Disguise (With Glasses)
3414,John Lee Hooker,Boogie Chillun
43,John Lennon,Imagine
4784,John Leyton,Johnny Remember Me
4648,John Mayer,No Such Thing
3379,John Miles,Music
1649,John Parr,St Elmo's Fire (Man in Motion)
1237,John Paul Young,Love is in the Air
4414,John Sebastian,Welcome Back
30,John Travolta & Olivia Newton-John,You're the One That I Want
2656,John Waite,Missing You
380,Johnnie Ray,Cry
2210,Johnnie Taylor,Disco Lady
1550,Johnny & The Hurricanes,Red River Rock
3457,Johnny Burnette,"You're Sixteen, You're Beautiful (And You're Mine)"
1935,Johnny Cash,Ring of Fire
3612,Johnny Gill,Rub You the Right Way
2189,Johnny Hates Jazz,Shattered Dreams
349,Johnny Horton,Battle of New Orleans
1718,Johnny Logan,What's Another Year
2638,Johnny Mathis,It's Not For Me to Say
2460,Johnny Mathis & Deniece Williams,Too Much Too Little Too Late
1101,Johnny Mercer,"On the Atchison, Topeka & the Santa Fe"
2664,Johnny Mercer & Jo Stafford,Candy
946,Johnny Nash,I Can See Clearly Now
1158,Johnny Preston,Running Bear
1511,Johnny Rivers,"Memphis, Tennessee"
3170,Johnny Standley,It's in The Book
1566,Johnny Tillotson,Poetry in Motion
4634,Johnny Wakelin,In Zaire
1720,JoJo,Leave (Get Out)
4114,Jon & Vangelis,I'll Find My Way Home
1308,Jon Secada,Just Another Day
2502,Jona Lewie,Stop the Cavalry
3776,Jonas Brothers,Burning Up
4927,Jonathan Edwards,Sunshine
1611,Joni James,Why Don't You Believe Me?
3985,Joni Mitchell,Big Yellow Taxi
3109,Jordin Sparks,Tattoo
756,Jordin Sparks & Chris Brown,No Air
2930,Jose Feliciano,Light My Fire
3732,Journey,Open Arms
3071,Joy Division,Love Will Tear Us Apart
1539,Juanes,La Camisa Negra
49,Judy Garland,Over the Rainbow
2757,Judy Garland & Gene Kelly,For Me & My Gal
2355,Juice Newton,Angel of the Morning
4811,Julee Cruise,Falling
3510,Julian Lennon,Too Late For Goodbyes
949,Julie Covington,Don't Cry For Me Argentina
3152,Julie London,Cry Me a River
3276,Julie Rogers,The Wedding
2770,Julio Iglesias & Willie Nelson,To All the Girls I've Loved Before
3983,Julius Larosa,"Eh, cumpari"
3637,Junior Senior,Move Your Feet
4593,Junior Walker & The All-Stars,Shotgun
3788,Justin Bieber,One Time
4243,Justin Bieber & Ludacris,Baby
63,Justin Timberlake,Sexyback
4978,K7,Come Baby Come
1252,Kajagoogoo,Too Shy
2954,Kansas,Dust in the Wind
363,Kanye West,Stronger
314,Kanye West & Jamie Foxx,Gold Digger
559,Kaoma,Lambada
4604,Kardinal Offishall,Dangerous
3707,Karyn White,Romantic
545,Kate Bush,Wuthering Heights
824,Kate Smith,God Bless America
4522,Kate Winslet,What If...
3017,Katrina & The Waves,Walking On Sunshine
48,Katy Perry,I Kissed A Girl
836,Katy Perry & Kanye West,E.T.
340,Katy Perry & Snoop Dogg,California Gurls
735,Kay Kyser,The Woody Woodpecker Song
792,Kay Starr,Wheel of Fortune
907,KC & The Sunshine Band,That's the Way (I Like It)
799,K-Ci & JoJo,All My Life
355,Ke$ha,Tik-Toc
2576,Keane,Everybody's Changing
4339,Keith Carradine,I'm Easy
2678,Keith Sweat,Twisted
4128,Keith Sweat & Athena Cage,Nobody
914,Kelis,Milkshake
718,Kelly Clarkson,Because of You
4076,Kelly Marie,Feels Like I'm in Love
2799,Kelly Rowland,Stole
3590,Ken Griffin,"You Can't Be True, Dear"
1939,Kenny Ball & his Jazzmen,Midnight in Moscow
4277,Kenny G,Songbird
615,Kenny Loggins,Footloose
4526,Kenny Loggins & Stevie Nicks,Whenever I Call You 'friend'
883,Kenny Rogers,Lady
1272,Kenny Rogers & Dolly Parton,Islands in the Stream
3491,Kenny Rogers & Sheena Easton,We've Got Tonight
4462,Keri Hilson & Kanye West & Ne-Yo,Knock You Down
4828,Ketty Lester,Love Letters
995,Kevin Lyttle,Turn Me On
3236,Kevin Rudolf & Lil' Wayne,Let it Rock
2330,Kid Cudi & Crookers,Day 'n' Nite
408,Kid Rock,All summer long
20,Kim Carnes,Bette Davis Eyes
1424,Kim Wilde,Kids in America
4454,King,Love & Pride
1504,Kings of Leon,Sex on Fire
448,Kingsmen,Louie Louie
697,Kiss,I Was Made For Lovin' You
468,Kitty Kallen,Little Things Mean a Lot
1164,KLF,3am Eternal
3556,Klymaxx,I Miss You
2567,K'Naan,Wavin' Flag
431,Kool & The Gang,Celebration
3979,Kraftwerk,Autobahn
334,Kris Kross,Jump
2683,KT Tunstall,Black Horse & the Cherry Tree
2570,KWS,Please Don't Go
54,Kylie Minogue,Can't Get You Out of My Head
2827,Kylie Minogue & Jason Donovan,Especially For You
943,Kyu Sakamoto,Sukiyaki
4126,La Belle Epoque,Black is Black
959,La Bouche,Be My Lover
2229,La Roux,Bulletproof!
2139,Lady Antebellum,Need You Now
60,Lady GaGa,Poker Face
674,Lady GaGa & Beyonce,Telephone
145,Lady GaGa & Colby O'Donis,Just Dance
3694,Lale Andersen,Lied eines jungen Wachtposten (Lili Marlen)
3492,Lana Del Rey,Video games
3041,Larry Clinton,Deep Purple
114,Las Ketchup,The Ketchup Song (Asereje)
4494,Lasgo,Something
867,Laura Branigan,Self Control
4124,Laurie London,He's Got the Whole World in His Hands
550,Lauryn Hill,Doo Wop (That Thing)
2309,Lawrence Welk,Calcutta
3250,Leadbelly,"Goodnight, Irene"
296,LeAnn Rimes,Can't Fight the Moonlight
2379,Leapy Lee,Little Arrows
419,Led Zeppelin,Whole Lotta Love
4796,Lee Ann Womack,I Hope You Dance
4050,Leila K & Rob 'n' Raz,Got to Get
2646,Len,Steal My Sunshine
3589,Len Barry,2001-02-03
2624,Lena Horne,Stormy Weather (Keeps Rainin' All the Time)
2096,Lenny Kravitz,Are You Gonna Go My Way?
2563,Leo Reisman,Continental (you Kiss While You're Dancing)
648,Leo Sayer,When I Need You
21,Leona Lewis,Bleeding Love
976,Leroy Anderson,Blue Tango
4341,Leroy Van Dyke,Walk On By
1863,Les Baxter & his Orchestra,Unchained Melody
1248,Les Brown,My Dreams Are Getting Better All the Time
309,Les Brown & Doris Day,Sentimental Journey
4238,Les Humphries Singers,Mexico
167,Les Paul & Mary Ford,Vaya Con Dios (may God Be With You)
1145,Lesley Gore,It's My Party
3551,Lester Flatt & Earl Scruggs,Foggy Mountain Breakdown
1595,Level 42,Lessons in Love
4832,Liberty X,Just a Little
2809,Lieutenant Pigeon,Mouldy Old Dough
678,Lifehouse,Hanging by a Moment
4831,Lil' Jon & The East Side Boyz,Get Low
4629,Lil' Louis,French Kiss
1887,Lil' Wayne,Lollipop
2885,Lily Allen,Smile
2509,Limahl,Never Ending Story
1764,Limp Bizkit,Behind Blue Eyes
3243,Linda Ronstadt,Blue Bayou
1979,Linda Ronstadt & Aaron Neville,Don't Know Much
2138,Linda Ronstadt & James Ingram,Somewhere Out There
2435,Lindsey Buckingham,TROUBLE
3549,Link Wray,Rumble
723,Linkin Park,In the End
263,Lionel Richie,"Say You, Say Me"
183,Lipps Inc,Funkytown
2105,Lisa Lisa & Cult Jam,Head to Toe
874,Lisa Loeb & Nine Stories,Stay (I Missed You)
493,Lisa Stansfield,All Around the World
571,Little Eva,The Loco-Motion
4268,Little Jimmy Osmond,Long Haired Lover From Liverpool
933,Little Peggy March,I Will Follow Him
859,Little Richard,Long Tall Sally
4898,Little River Band,Reminiscing
4425,Living In A Box,Living in a Box
4034,LL Cool J,Hey Lover
643,Lloyd Price,(You've Got) Personality
116,LMFAO,Party Rock Anthem
345,Lobo,I'd Love You to Want Me
2433,Lolita,"Seemann, deine Heimat ist das Meer"
151,Londonbeat,I've Been Thinking About You
3125,Lonestar,Amazed
4048,Lonnie Donegan,My Old Man's a Dustman (Ballad of a Refuse Disposal Officer)
2373,Looking Glass,Brandy (You're A Fine Girl)
1074,Lorde,Royals
3483,Lordi,Hard Rock Hallelujah
2698,Loreen,Euphoria
3954,Lorne Greene,Ringo
970,Los Bravos,Black is Black
34,Los Del Rio,Macarena
1614,Los Indios Tabajaras,Maria Elena
215,Los Lobos,La Bamba
3684,Los Lonely Boys,Heaven
4095,Los Machucambos,Pepito
80,Lou Bega,Mambo No 5 (A Little Bit of ...)
3339,Lou Christie,Lightnin' Strikes
1961,Lou Rawls,You'll Never Find Another Love Like Mine
1682,Lou Reed,Walk On the Wild Side
700,Louis Armstrong,Hello Dolly
1951,Louis Jordan,Caldonia Boogie (What Makes Your Big Head So Hard)
3258,Louis Prima,Buona Sera
3422,Love & Rockets,So Alive
968,Love Unlimited,Love's Theme
924,Lovin' Spoonful,Summer in the City
4759,LTD,(Everytime I Turn Around) Back In Love Again
4713,Ludacris & Shaunna,Stand Up
1418,Lulu,"To Sir, With Love"
1084,Lumidee,Never Leave You (Uh Oooh Uh Oooh)
2347,Luniz,I Got 5 On It
4702,Luther Vandross,Here & Now
2506,Luther Vandross & Janet Jackson,The Best Things in Life Are Free
1000,Luther Vandross & Mariah Carey,Endless Love
3025,Lutricia McNeal,Ain't That Just The Way (That Love Goes Down)
4249,Luv',You're The Greatest Lover
202,Lynn Anderson,I Beg Your Pardon (I Never Promised You a Rose Garden)
1111,Lynyrd Skynyrd,Sweet Home Alabama
4986,Lyte Funkie Ones,Summer Girls
396,M,Pop Muzik
3386,Ma Rainey,See See Rider Blues
3784,Mac Davis,Baby Don't Get Hooked On Me
923,Macklemore & Ryan Lewis,Thrift Shop
699,Macy Gray,I Try
3061,Madcon,Beggin'
3280,Mad'house,Like a Prayer
1638,Madness,Our House
33,Madonna,Vogue
179,Madonna & Justin Timberlake,Four Minutes
2879,Mahalia Jackson,Move On Up a Little Higher
4868,Main Ingredient,Everybody Plays the Fool
4995,Major Lance,Monkey Time
4087,Mama Cass,Dream a Little Dream of Me
2198,Mamie Smith,Crazy Blues
863,Manfred Mann,Mighty Quinn
2083,Manfred Mann's Earth Band,Blinded By the Light
3480,Manhattan Transfer,Chanson D'Amour
3191,Mantovani,The Song From Moulin Rouge (Where Is Your Heart)
4304,Manu Chao,Me gustas tu
2403,Marc Almond & Gene Pitney,Something's Gotten Hold of My Heart
2218,Marc Anthony,I Need to Know
2791,Marcy Playground,Sex & Candy
1656,Margaret Whiting,A Tree in the Meadow
1709,Margaret Whiting & Jimmy Wakely,Slippin' Around
2074,Maria McKee,Show Me Heaven
4470,Maria Muldaur,Midnight At the Oasis
165,Mariah Carey,Without You
176,Mariah Carey & Boyz II Men,One Sweet Day
3764,Mariah Carey & Westlife,Against All Odds (Take a Look At Me Now)
661,Mariah Carey & Whitney Houston,When You Believe
4567,Marie Myriam,L'oiseau Et L'enfant
3429,Marie Osmond,Paper Roses
4222,Marillion,Kayleigh
3880,Marilyn Manson,Tainted Love
2448,Marilyn McCoo & Billy Davis Jr,You Don't Have to Be a Star (To Be in My Show)
4178,Marino Marini & his Quartet,More Than Ever (Come Prima)
344,Mario,Let Me Love You
882,Mario Lanza,Be My Love
853,Mario Winans,I Don't Wanna Know
3174,Marion Harris,I Ain't Got Nobody
3225,Mark Dinning,Teen Angel
1655,Mark Morrison,Return of the Mack
4605,Mark Oh,Tears Don't Lie
3883,Mark Ronson & Amy Winehouse,Valerie
1555,Marky Mark & The Funky Bunch,Good Vibrations
2421,Marmalade,"Ob-La-Di, Ob-La-Da"
692,Maroon 5,She Will Be Loved
305,Maroon 5 & Christina Aguilera,Moves Like Jagger
1542,Maroon 5 & Wiz Khalifa,Payphone
1295,MARRS,Pump Up the Volume
3020,Marshall Hain,Dancing in the City
1536,Martha & The Vandellas,Dancing in the Street
3619,Martha Tilton,And the Angels Sing
4013,Marti Webb,Take That Look Off Your Face
1210,Martika,Toy Soldiers
4506,Marty Balin,Hearts
2178,Marty Robbins,El Paso
428,Marvin Gaye,I Heard it Through the Grapevine
3593,Marvin Gaye & Tammi Terrell,Ain't No Mountain High Enough
1597,Marvin Hamlisch,The Entertainer
198,Mary Hopkin,Those Were the Days
620,Mary J Blige,Family Affair
2202,Mary J Blige & U2,One
1717,Mary MacGregor,Torn Between Two Lovers
4321,Mary Mary,Shackles (Praise You)
1090,Mary Wells,My Guy
3767,Mason Williams,Classical Gas
1927,Matchbox Twenty,Bent
2978,Mattafix,Big City Life
3069,Matthew Wilder,Break My Stride
3853,Matthews Southern Comfort,Woodstock
1326,Maureen McGovern,The Morning After
2441,Maurice Williams & The Zodiacs,Stay
1280,Maxi Priest,Close to You
4602,Maxi Priest & Shaggy,That Girl
1816,Maxine Nightingale,Right Back Where We Started From
181,MC Hammer,U Can't Touch This
3573,MC Lyte,Cold Rock a Party
2749,MC Miker G & DJ Sven,Holiday Rap
759,MC Sar & The Real McCoy,Another Night
4001,McFadden & Whitehead,Ain't No Stoppin' Us Now
4164,McGuire Sisters,Sincerely
138,Meat Loaf,I'd Do Anything For Love (But I Won't Do That)
1980,Meco,Star Wars Theme - Cantina Band
3548,Meghan Trainor,All About That Bass
1211,Mel & Kim,Respectable
2337,Mel Blanc,I Taut I Taw A Puddy Tat
2713,Mel Torme,Careless Hands
891,Melanie,Brand New Key
3832,Melanie C,I Turn to You
